file_name,image_id,mpp,pass,n_clicks,seed_index,seed_ann_id,n_candidates_after_selfhit,n_selfhit_dropped,dist_seed_to_nearest_cand,crop_um,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_100,encoder,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,variant,query
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,chromatin,od,False,,False,False,217,109,20369,0.9359,107,2,0.022141,1.0,29.609,192.0,1576.0,19933.0,chromatin_density_51px,500,500,137,37,0.631336405529954,,
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,chromatin,od,False,,False,False,217,109,20369,0.9359,107,2,0.022141,1.0,29.609,192.0,1576.0,19933.0,chromatin_density_51px,1000,1000,165,59,0.7603686635944701,,
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,chromatin,od,False,,False,False,217,109,20369,0.9359,107,2,0.022141,1.0,29.609,192.0,1576.0,19933.0,chromatin_density_51px,2000,2000,183,77,0.8433179723502304,,
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,chromatin,od,False,,False,False,217,109,20369,0.9359,107,2,0.022141,1.0,29.609,192.0,1576.0,19933.0,chromatin_density_51px,5000,5000,197,96,0.9078341013824884,,
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,blob_native,score,False,,False,False,217,109,20369,0.9359,107,2,0.0,1.0,29.609,167.0,480.0,7749.0,otsu_component_mean,500,500,174,68,0.8018433179723502,,
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,blob_native,score,False,,False,False,217,109,20369,0.9359,107,2,0.0,1.0,29.609,167.0,480.0,7749.0,otsu_component_mean,1000,1000,202,85,0.9308755760368663,,
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,blob_native,score,False,,False,False,217,109,20369,0.9359,107,2,0.0,1.0,29.609,167.0,480.0,7749.0,otsu_component_mean,2000,2000,210,98,0.967741935483871,,
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,blob_native,score,False,,False,False,217,109,20369,0.9359,107,2,0.0,1.0,29.609,167.0,480.0,7749.0,otsu_component_mean,5000,5000,214,104,0.9861751152073732,,
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18,cos_fcos_midogpp_r18,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,202.0,475.0,1551.0,fcos_midogpp_r18,500,500,178,65,0.8202764976958525,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18,cos_fcos_midogpp_r18,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,202.0,475.0,1551.0,fcos_midogpp_r18,1000,1000,212,82,0.9769585253456221,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18,cos_fcos_midogpp_r18,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,202.0,475.0,1551.0,fcos_midogpp_r18,2000,2000,217,91,1.0,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18,cos_fcos_midogpp_r18,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,202.0,475.0,1551.0,fcos_midogpp_r18,5000,5000,217,106,1.0,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18_cl2n,cos_fcos_midogpp_r18_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,152.0,260.0,1629.0,fcos_midogpp_r18,500,500,209,61,0.9631336405529954,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18_cl2n,cos_fcos_midogpp_r18_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,152.0,260.0,1629.0,fcos_midogpp_r18,1000,1000,214,82,0.9861751152073732,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18_cl2n,cos_fcos_midogpp_r18_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,152.0,260.0,1629.0,fcos_midogpp_r18,2000,2000,217,91,1.0,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18_cl2n,cos_fcos_midogpp_r18_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,152.0,260.0,1629.0,fcos_midogpp_r18,5000,5000,217,106,1.0,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18_cl2n_snap,cos_fcos_midogpp_r18_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,178.0,323.0,1830.0,fcos_midogpp_r18,500,500,201,42,0.9262672811059908,cl2n_snap,snap
